raw_emg1,derivative_emg1,normalized_emg1,raw_emg2,derivative_emg2,normalized_emg2,label
33256,0,0.48551,32631,0,0.32789,1
34296,1040,0.60324,32279,-352,0.28363,1
35256,960,0.71191,32936,657,0.36623,1
36136,880,0.81152,33608,672,0.45072,1
35896,-240,0.78436,33304,-304,0.41250,1
34760,-1136,0.65576,32359,-945,0.29369,1
33624,-1136,0.52717,32007,-352,0.24943,1
33016,-608,0.45834,31991,-16,0.24742,1
32487,-529,0.39846,32007,16,0.24943,1
32199,-288,0.36586,31895,-112,0.23535,1
31447,-752,0.28073,32215,320,0.27558,1
31063,-384,0.23727,32631,416,0.32789,1
31431,368,0.27892,32407,-224,0.29972,1
32055,624,0.34956,32423,16,0.30173,1
32455,400,0.39484,32151,-272,0.26754,1
32904,449,0.44566,32423,272,0.30173,1
32888,-16,0.44385,32792,369,0.34813,1
32776,-112,0.43117,32888,96,0.36020,1
32647,-129,0.41657,33448,560,0.43060,1
32471,-176,0.39665,33928,480,0.49095,1
32055,-416,0.34956,33640,-288,0.45474,1
32007,-48,0.34412,34216,576,0.52716,1
32695,688,0.42201,33304,-912,0.41250,1
32359,-336,0.38397,32679,-625,0.33392,1
32231,-128,0.36948,33192,513,0.39842,1
32551,320,0.40571,33096,-96,0.38635,1
33400,849,0.50181,33176,80,0.39640,1
35352,1952,0.72278,33032,-144,0.37830,1
35512,160,0.74089,33416,384,0.42658,1
35560,48,0.74632,33224,-192,0.40244,1
35176,-384,0.70285,33176,-48,0.39640,1
34280,-896,0.60143,33416,240,0.42658,1
33896,-384,0.55796,33832,416,0.47888,1
33544,-352,0.51811,33880,48,0.48491,1
32327,-1217,0.38035,33720,-160,0.46480,1
31879,-448,0.32964,33544,-176,0.44267,1
31607,-272,0.29885,33624,80,0.45273,1
31639,32,0.30247,33880,256,0.48491,1
31975,336,0.34050,34600,720,0.57543,1
32343,368,0.38216,35192,592,0.64986,1
32407,64,0.38940,35464,272,0.68406,1
32471,64,0.39665,34600,-864,0.57543,1
33048,577,0.46197,34392,-208,0.54928,1
33640,592,0.52898,35096,704,0.63779,1
33576,-64,0.52173,34888,-208,0.61164,1
33944,368,0.56339,33432,-1456,0.42859,1
34184,240,0.59056,33512,80,0.43865,1
33560,-624,0.51992,33288,-224,0.41049,1
32679,-881,0.42019,34024,736,0.50302,1
32247,-432,0.37129,34424,400,0.55331,1
32151,-96,0.36043,33416,-1008,0.42658,1
31879,-272,0.32964,31623,-1793,0.20116,1
32055,176,0.34956,30887,-736,0.10862,1
32407,352,0.38940,31111,224,0.13679,1
30903,-1504,0.21915,30839,-272,0.10259,1
31559,656,0.29341,30807,-32,0.09857,1
32247,688,0.37129,32311,1504,0.28765,1
32231,-16,0.36948,32727,416,0.33995,1
32551,320,0.40571,33320,593,0.41451,1
33048,497,0.46197,33528,208,0.44066,1
34648,1600,0.64308,34184,656,0.52313,1
33016,-1632,0.45834,33928,-256,0.49095,1
32792,-224,0.43299,33704,-224,0.46279,1
32583,-209,0.40933,33528,-176,0.44066,1
32519,-64,0.40208,34056,528,0.50704,1
32856,337,0.44023,34344,288,0.54325,1
33016,160,0.45834,34840,496,0.60561,1
32792,-224,0.43299,35880,1040,0.73636,1
32055,-737,0.34956,36280,400,0.78665,1
31751,-304,0.31515,36840,560,0.85705,1
32599,848,0.41114,37401,561,0.92758,1
33656,1057,0.53079,37977,576,1.00000,1
34232,576,0.59599,37369,-608,0.92356,1
34408,176,0.61592,36472,-897,0.81079,1
34600,192,0.63765,35368,-1104,0.67199,1
35192,592,0.70466,35336,-32,0.66797,1
35048,-144,0.68836,35192,-144,0.64986,1
34728,-320,0.65214,34952,-240,0.61969,1
34264,-464,0.59962,35272,320,0.65992,1
33528,-736,0.51630,34776,-496,0.59756,1
32968,-560,0.45291,33880,-896,0.48491,1
33128,160,0.47102,33304,-576,0.41250,1
32936,-192,0.44929,33048,-256,0.38031,1
32920,-16,0.44748,34744,1696,0.59354,1
32343,-577,0.38216,35176,432,0.64785,1
33496,1153,0.51268,35464,288,0.68406,1
33784,288,0.54528,35224,-240,0.65388,1
34504,720,0.62678,34280,-944,0.53520,1
34584,80,0.63584,34072,-208,0.50905,1
34616,32,0.63946,33032,-1040,0.37830,1
34664,48,0.64489,33240,208,0.40445,1
34552,-112,0.63222,34520,1280,0.56538,1
34248,-304,0.59780,35032,512,0.62975,1
33768,-480,0.54347,34984,-48,0.62371,1
33720,-48,0.53803,34920,-64,0.61567,1
33464,-256,0.50906,34600,-320,0.57543,1
33784,320,0.54528,33944,-656,0.49296,1
33944,160,0.56339,33448,-496,0.43060,1
34552,608,0.63222,33688,240,0.46077,1
34376,-176,0.61229,34520,832,0.56538,1
34088,-288,0.57969,34664,144,0.58348,1
33656,-432,0.53079,34424,-240,0.55331,1
33720,64,0.53803,33880,-544,0.48491,1
33688,-32,0.53441,33480,-400,0.43462,1
33256,-432,0.48551,32856,-624,0.35617,1
33576,320,0.52173,32295,-561,0.28564,1
32343,-1233,0.38216,32663,368,0.33191,1
31815,-528,0.32239,33224,561,0.40244,1
31255,-560,0.25900,33560,336,0.44468,1
30871,-384,0.21553,33688,128,0.46077,1
30727,-144,0.19923,33288,-400,0.41049,1
30599,-128,0.18474,32455,-833,0.30576,1
31079,480,0.23908,31959,-496,0.24340,1
30823,-256,0.21010,31975,16,0.24541,1
30727,-96,0.19923,31879,-96,0.23334,1
31223,496,0.25538,31751,-128,0.21725,1
31703,480,0.30971,32375,624,0.29570,1
31719,16,0.31152,32423,48,0.30173,1
31015,-704,0.23183,31783,-640,0.22127,1
31303,288,0.26443,32375,592,0.29570,1
31383,80,0.27349,32311,-64,0.28765,1
32135,752,0.35861,32631,320,0.32789,1
33544,1409,0.51811,32663,32,0.33191,1
35400,1856,0.72821,32727,64,0.33995,1
36392,992,0.84050,32647,-80,0.32990,1
36905,513,0.89857,33032,385,0.37830,1
36969,64,0.90582,32872,-160,0.35818,1
36376,-593,0.83869,32567,-305,0.31984,1
36104,-272,0.80790,32727,160,0.33995,1
34488,-1616,0.62497,31719,-1008,0.21323,1
33480,-1008,0.51087,30567,-1152,0.06839,1
33512,32,0.51449,30551,-16,0.06638,1
31847,-1665,0.32601,30999,448,0.12271,1
29879,-1968,0.10324,30615,-384,0.07443,1
29959,80,0.11229,31175,560,0.14483,1
29607,-352,0.07245,31719,544,0.21323,1
30343,736,0.15576,32263,544,0.28162,1
30823,480,0.21010,32808,545,0.35014,1
31127,304,0.24451,33080,272,0.38433,1
31591,464,0.29703,33080,0,0.38433,1
31847,256,0.32601,33352,272,0.41853,1
31431,-416,0.27892,33256,-96,0.40646,1
31655,224,0.30428,33320,64,0.41451,1
31079,-576,0.23908,33768,448,0.47083,1
30471,-608,0.17025,33352,-416,0.41853,1
30663,192,0.19199,32487,-865,0.30978,1
31031,368,0.23364,31831,-656,0.22731,1
31159,128,0.24813,32087,256,0.25949,1
31111,-48,0.24270,32455,368,0.30576,1
31895,784,0.33145,33496,1041,0.43664,1
31063,-832,0.23727,31783,-1713,0.22127,1
30887,-176,0.21734,32007,224,0.24943,1
31015,128,0.23183,31943,-64,0.24139,1
30871,-144,0.21553,31479,-464,0.18305,1
30471,-400,0.17025,30999,-480,0.12271,1
31511,1040,0.28798,31223,224,0.15087,1
31911,400,0.33326,31319,96,0.16294,1
31943,32,0.33688,30823,-496,0.10058,1
31527,-416,0.28979,30231,-592,0.02615,1
31287,-240,0.26262,30023,-208,0.00000,1
31415,128,0.27711,30423,400,0.05029,1
31495,80,0.28617,30535,112,0.06437,1
31703,208,0.30971,30855,320,0.10460,1
31831,128,0.32420,30599,-256,0.07242,1
31927,96,0.33507,30295,-304,0.03420,1
31543,-384,0.29160,30503,208,0.06035,1
30903,-640,0.21915,30919,416,0.11265,1
31047,144,0.23545,31815,896,0.22530,1
31031,-16,0.23364,33368,1553,0.42054,1
31239,208,0.25719,32535,-833,0.31582,1
31303,64,0.26443,33000,465,0.37428,1
31479,176,0.28436,33432,432,0.42859,1
31687,208,0.30790,33800,368,0.47486,1
31703,16,0.30971,33752,-48,0.46882,1
32039,336,0.34775,33944,192,0.49296,1
32215,176,0.36767,33912,-32,0.48894,1
32247,32,0.37129,33848,-64,0.48089,1
31751,-496,0.31515,34168,320,0.52112,1
31367,-384,0.27168,34120,-48,0.51509,1
31687,320,0.30790,34600,480,0.57543,1
31703,16,0.30971,35800,1200,0.72630,1
31575,-128,0.29522,36472,672,0.81079,1
31575,0,0.29522,36808,336,0.85303,1
32295,720,0.37673,36280,-528,0.78665,1
32087,-208,0.35318,35464,-816,0.68406,1
33352,1265,0.49638,34808,-656,0.60158,1
33672,320,0.53260,34088,-720,0.51106,1
33768,96,0.54347,33784,-304,0.47284,1
34120,352,0.58331,33288,-496,0.41049,1
33176,-944,0.47645,32023,-1265,0.25145,1
31927,-1249,0.33507,31991,-32,0.24742,1
31127,-800,0.24451,32087,96,0.25949,1
30775,-352,0.20466,31991,-96,0.24742,1
30887,112,0.21734,32151,160,0.26754,1
31111,224,0.24270,32695,544,0.33593,1
31191,80,0.25175,33480,785,0.43462,1
31447,256,0.28073,34616,1136,0.57745,1
32055,608,0.34956,35848,1232,0.73234,1
32679,624,0.42019,36328,480,0.79268,1
32247,-432,0.37129,35928,-400,0.74239,1
32407,160,0.38940,36280,352,0.78665,1
32583,176,0.40933,35384,-896,0.67400,1
32327,-256,0.38035,35432,48,0.68004,1
32135,-192,0.35861,36264,832,0.78464,1
31847,-288,0.32601,36408,144,0.80274,1
32215,368,0.36767,36584,176,0.82487,1
33528,1313,0.51630,36744,160,0.84498,1
35416,1888,0.73002,35576,-1168,0.69814,1
36552,1136,0.85861,34616,-960,0.57745,1
37801,1249,1.00000,35512,896,0.69009,1
37449,-352,0.96015,36456,944,0.80878,1
36504,-945,0.85318,37193,737,0.90143,1
33720,-2784,0.53803,36168,-1025,0.77257,1
30343,-3377,0.15576,34488,-1680,0.56135,1
29063,-1280,0.01087,32231,-2257,0.27760,1
28967,-96,0.00000,32391,160,0.29771,1
29207,240,0.02717,32952,561,0.36824,1
30103,896,0.12859,33896,944,0.48692,1
29863,-240,0.10143,34344,448,0.54325,1
30231,368,0.14308,33976,-368,0.49698,1
30503,272,0.17387,33720,-256,0.46480,1
30087,-416,0.12678,33288,-432,0.41049,1
30999,912,0.23002,33112,-176,0.38836,1
32359,1360,0.38397,32872,-240,0.35818,1
32375,16,0.38578,32487,-385,0.30978,1
