raw_emg1,derivative_emg1,normalized_emg1,raw_emg2,derivative_emg2,normalized_emg2,label
31911,0,0.33328,32936,0,0.45037,1
30759,-1152,0.16310,33480,544,0.51064,1
30359,-400,0.10400,34264,784,0.59750,1
29767,-592,0.01655,32824,-1440,0.43796,1
30519,752,0.12764,33096,272,0.46809,1
30055,-464,0.05909,32984,-112,0.45568,1
30455,400,0.11819,33688,704,0.53368,1
30695,240,0.15364,33784,96,0.54432,1
31207,512,0.22928,34760,976,0.65245,1
31415,208,0.26001,34008,-752,0.56913,1
31271,-144,0.23874,34040,32,0.57268,1
31447,176,0.26474,33608,-432,0.52482,1
31175,-272,0.22455,32039,-1569,0.35099,1
31943,768,0.33801,32039,0,0.35099,1
31671,-272,0.29783,31767,-272,0.32085,1
31383,-288,0.25528,32471,704,0.39885,1
31623,240,0.29074,32567,96,0.40948,1
31351,-272,0.25055,33064,497,0.46455,1
31703,352,0.30256,33512,448,0.51418,1
32151,448,0.36874,33528,16,0.51595,1
32423,272,0.40892,33320,-208,0.49291,1
32904,481,0.47998,33176,-144,0.47696,1
33288,384,0.53671,32519,-657,0.40417,1
33880,592,0.62417,32119,-400,0.35985,1
33480,-400,0.56508,30967,-1152,0.23222,1
33480,0,0.56508,30743,-224,0.20740,1
33896,416,0.62653,30263,-480,0.15422,1
34136,240,0.66199,33032,2769,0.46100,1
33672,-464,0.59344,35576,2544,0.74285,1
33736,64,0.60290,36824,1248,0.88112,1
34984,1248,0.78727,37897,1073,1.00000,1
35208,224,0.82036,36552,-1345,0.85099,1
35480,272,0.86054,34744,-1808,0.65068,1
34504,-976,0.71635,33576,-1168,0.52127,1
34376,-128,0.69744,32920,-656,0.44859,1
33304,-1072,0.53908,33624,704,0.52659,1
31863,-1441,0.32619,33240,-384,0.48405,1
31751,-112,0.30965,31079,-2161,0.24463,1
30567,-1184,0.13473,31559,480,0.29781,1
31271,704,0.23874,32183,624,0.36694,1
31911,640,0.33328,33368,1185,0.49823,1
32055,144,0.35456,33960,592,0.56382,1
31783,-272,0.31437,34392,432,0.61168,1
31591,-192,0.28601,35080,688,0.68790,1
31367,-224,0.25292,35080,0,0.68790,1
31607,240,0.28837,34696,-384,0.64536,1
31479,-128,0.26946,33496,-1200,0.51241,1
31559,80,0.28128,32167,-1329,0.36517,1
31623,64,0.29074,32952,785,0.45214,1
31191,-432,0.22692,34296,1344,0.60104,1
30887,-304,0.18201,32824,-1472,0.43796,1
30823,-64,0.17255,31383,-1441,0.27831,1
30471,-352,0.12055,29799,-1584,0.10281,1
31159,688,0.22219,29095,-704,0.02482,1
30583,-576,0.13710,29367,272,0.05495,1
32071,1488,0.35692,30759,1392,0.20917,1
32920,849,0.48235,30999,240,0.23576,1
33192,272,0.52253,32551,1552,0.40771,1
33880,688,0.62417,33432,881,0.50532,1
33592,-288,0.58162,33288,-144,0.48936,1
33384,-208,0.55089,34072,784,0.57622,1
